"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_API","DifferenceScore_API","Related_score_API","Unrelated_score_API"
"forbidden-outcome","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"okay-yeah","related",0.574229794229467,NA,NA,NA,0.2,NA,NA,NA
"ring-necklace","related",0.44843791223242,NA,NA,NA,0.739,NA,NA,NA
"thin-thick","related",0.634120104645558,NA,NA,NA,0.2,NA,NA,NA
"honey-butter","related",0.526222206201077,NA,NA,NA,0.593,NA,NA,NA
"badge-uniform","related",0.4132628887529,NA,NA,NA,0.753,NA,NA,NA
"arrive-unpleasant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"engagement-fantastic","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"climb-funding","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"advice-length","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dragon-absence","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ordinary-signature","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"coal-highness","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dramatic-package","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"urgent-remember","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"impossible-university","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"strong-surface","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"career-lock","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"suffer-charming","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"model-emergency","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"capsule-probe","related",0.280213052011013,NA,NA,NA,0.2615,NA,NA,NA
"silent-fishing","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"shark-password","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"farmer-blackmail","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"layer-let","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"helpless-powerless","related",0.768737810035608,NA,NA,NA,0.9,NA,NA,NA
"court-substitute","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"conservative-toy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bonus-sunday","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"espionage-black","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"taxi-modest","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"miserable-discussion","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"phase-small","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"goose-duck","related",0.515169933642011,NA,NA,NA,0.875,NA,NA,NA
"chancellor-president","related",0.473749472817332,NA,NA,NA,0.8225,NA,NA,NA
"finger-garage","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"atomic-valley","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"shine-machine","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"arrange-organize","related",0.6538193484159,NA,NA,NA,0.8625,NA,NA,NA
"punish-race","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"badge-knew","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"wall-fence","related",0.41986678361706,NA,NA,NA,0.767,NA,NA,NA
"imagination-fleet","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"actually-really","related",0.480101688709659,NA,NA,NA,0.775,NA,NA,NA
"officially-official","related",0.670228369522353,NA,NA,NA,0.8235,NA,NA,NA
"beach-coast","related",0.540543225799466,NA,NA,NA,0.8175,NA,NA,NA
"chain-rope","related",0.339923462699668,NA,NA,NA,0.7825,NA,NA,NA
"dna-scandal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"trailer-van","related",0.246765045266163,NA,NA,NA,0.7495,NA,NA,NA
"chaos-bro","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ignorance-arrogance","related",0.50895386582451,NA,NA,NA,0.3725,NA,NA,NA
"hair-watson","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"climb-jump","related",0.420690723110811,NA,NA,NA,0.704,NA,NA,NA
"radius-perimeter","related",0.45027753591354,NA,NA,NA,0.627,NA,NA,NA
"widow-van","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"navigation-communication","related",0.337077983495621,NA,NA,NA,0.366,NA,NA,NA
"live-ship","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"protect-structure","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"universe-galaxy","related",0.501319802571498,NA,NA,NA,0.85,NA,NA,NA
"unit-division","related",0.583476320211607,NA,NA,NA,0.7145,NA,NA,NA
"dynasty-tell","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"governor-jacket","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"expensive-cheap","related",0.542852680595442,NA,NA,NA,0.85,NA,NA,NA
"sensor-transmitter","related",0.376047770537715,NA,NA,NA,0.8115,NA,NA,NA
"right-french","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"honey-calculate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hunting-fishing","related",0.585471333514008,NA,NA,NA,0.7705,NA,NA,NA
"ridiculous-ear","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"unfortunate-something","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"responsibility-duty","related",0.605205977634024,NA,NA,NA,0.8625,NA,NA,NA
"never-ever","related",0.693344305625466,NA,NA,NA,0.05,NA,NA,NA
"satisfied-happy","related",0.610927241969361,NA,NA,NA,0.8615,NA,NA,NA
"superman-batman","related",0.564009914340602,NA,NA,NA,0.9,NA,NA,NA
"shark-fish","related",0.4061167925396,NA,NA,NA,0.8875,NA,NA,NA
"report-cap","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"gunpowder-dynamite","related",0.416091074175621,NA,NA,NA,0.875,NA,NA,NA
"sugar-ever","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"lunar-solar","related",0.515261871106305,NA,NA,NA,0.836,NA,NA,NA
"create-produce","related",0.517310711084908,NA,NA,NA,0.8585,NA,NA,NA
"white-black","related",0.551584606911654,NA,NA,NA,0.55,NA,NA,NA
"normally-usually","related",0.738516306991618,NA,NA,NA,0.8,NA,NA,NA
"million-billion","related",0.596190046747267,NA,NA,NA,0.9,NA,NA,NA
"church-prize","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"land-style","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"alone-fluid","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"glasses-hear","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"boys-girls","related",0.718699355272026,NA,NA,NA,0.9,NA,NA,NA
"jazz-coast","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"majority-vote","related",0.32919569022051,NA,NA,NA,0.85,NA,NA,NA
"lunar-raccoon","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"motive-flower","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"complaint-city","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"caliber-bullet","related",0.432449291039167,NA,NA,NA,0.8,NA,NA,NA
"front-really","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ambassador-insect","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"jeep-truck","related",0.464257363345822,NA,NA,NA,0.8625,NA,NA,NA
"culture-nervous","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tasty-fingerprint","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bay-harbor","related",0.426930253534915,NA,NA,NA,0.826,NA,NA,NA
"stick-hammer","related",0.447344690053389,NA,NA,NA,0.331,NA,NA,NA
"nightmare-perfume","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dean-wealth","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"seminar-meat","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"naturally-generally","related",0.470264945230884,NA,NA,NA,0.106,NA,NA,NA
"equipment-equip","related",0.75273496688622,NA,NA,NA,0.25,NA,NA,NA
"follow-circus","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"therapy-treatment","related",0.605808822680934,NA,NA,NA,0.8385,NA,NA,NA
"mistress-particle","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"plus-minus","related",0.554701456277723,NA,NA,NA,0.65,NA,NA,NA
"dessert-cake","related",0.493151589874555,NA,NA,NA,0.8875,NA,NA,NA
"blood-urine","related",0.362433685798152,NA,NA,NA,0.756,NA,NA,NA
"budget-funding","related",0.518919626221833,NA,NA,NA,0.8225,NA,NA,NA
"impression-metal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"paradise-hell","related",0.403321687169204,NA,NA,NA,0.775,NA,NA,NA
"suicide-signal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"blanket-towel","related",0.518985843318118,NA,NA,NA,0.5275,NA,NA,NA
"question-devil","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"chancellor-technique","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pride-dignity","related",0.590232136287143,NA,NA,NA,0.811,NA,NA,NA
"enough-sufficient","related",0.765351290793765,NA,NA,NA,1,NA,NA,NA
"propose-gram","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"refuge-television","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rum-cognac","related",0.246217546449377,NA,NA,NA,0.85,NA,NA,NA
"marathon-race","related",0.347763220801572,NA,NA,NA,0.835,NA,NA,NA
"compliment-gift","related",0.40243377613372,NA,NA,NA,0.6385,NA,NA,NA
"student-definition","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"naïve-sip","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rhythm-style","related",0.451192966848047,NA,NA,NA,0.5135,NA,NA,NA
"lawyer-prosecutor","related",0.503725365440836,NA,NA,NA,0.775,NA,NA,NA
"cinema-theater","related",0.544272500010412,NA,NA,NA,0.897,NA,NA,NA
"campaign-election","related",0.475778746491152,NA,NA,NA,0.874,NA,NA,NA
"heat-temperature","related",0.613846089133197,NA,NA,NA,0.876,NA,NA,NA
"poverty-misery","related",0.490839743156598,NA,NA,NA,0.844,NA,NA,NA
"magic-wallet","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"narrow-forever","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"popular-informant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"room-friendship","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"chain-determination","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"operate-surgery","related",0.340407666437928,NA,NA,NA,0.75,NA,NA,NA
"cloth-handkerchief","related",0.481726397624687,NA,NA,NA,0.805,NA,NA,NA
"personal-intimate","related",0.53220733599681,NA,NA,NA,0.731,NA,NA,NA
"sherlock-battle","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"uncle-watch","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"combat-fight","related",0.778681237670433,NA,NA,NA,0.9,NA,NA,NA
"capacity-ability","related",0.562289548132131,NA,NA,NA,0.777,NA,NA,NA
"finance-suspect","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"spring-fork","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"africa-america","related",0.511339323635432,NA,NA,NA,0.5895,NA,NA,NA
"idea-theory","related",0.599575086680723,NA,NA,NA,0.8,NA,NA,NA
"slow-government","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"learn-teach","related",0.55092260933816,NA,NA,NA,0.8435,NA,NA,NA
"frequency-signal","related",0.41199813188607,NA,NA,NA,0.302,NA,NA,NA
"cook-energy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"critical-boss","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hostage-produce","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"project-fear","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"nothing-something","related",0.622022819489822,NA,NA,NA,0.5,NA,NA,NA
"member-ultimate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"compass-map","related",0.484909211015766,NA,NA,NA,0.8395,NA,NA,NA
"nail-tooth","related",0.519063366512243,NA,NA,NA,0.2,NA,NA,NA
"royal-kingdom","related",0.514054211840247,NA,NA,NA,0.8375,NA,NA,NA
"mouse-rat","related",0.421741141279232,NA,NA,NA,0.8875,NA,NA,NA
"tuna-temperature","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"enter-neck","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"international-world","related",0.44733827552677,NA,NA,NA,0.769,NA,NA,NA
"lesbian-gay","related",0.5467740718285,NA,NA,NA,0.9,NA,NA,NA
"trouble-senator","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"loyal-nuclear","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"area-zone","related",0.613930597865018,NA,NA,NA,0.8325,NA,NA,NA
"genius-past","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"medical-hat","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"influence-effect","related",0.508234855551002,NA,NA,NA,0.861,NA,NA,NA
"extra-painter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sober-drunk","related",0.601809124043513,NA,NA,NA,0.8,NA,NA,NA
"concrete-steel","related",0.421256749329654,NA,NA,NA,0.664,NA,NA,NA
"hotel-motel","related",0.5323416188165,NA,NA,NA,0.825,NA,NA,NA
"arrival-departure","related",0.605253078300701,NA,NA,NA,0.8,NA,NA,NA
"interrupt-disturb","related",0.520758600403823,NA,NA,NA,0.817,NA,NA,NA
"box-cardinal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"forget-remember","related",0.658534185811547,NA,NA,NA,0.85,NA,NA,NA
"fox-repair","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"church-chapel","related",0.526587275376151,NA,NA,NA,0.861,NA,NA,NA
"circle-triangle","related",0.636978513940489,NA,NA,NA,0.6155,NA,NA,NA
"third-do","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"situation-sale","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"saturday-product","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"wall-manipulate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"proceed-continue","related",0.614037542251126,NA,NA,NA,0.8,NA,NA,NA
"artifact-cool","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"smart-misfortune","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pension-salary","related",0.448551636461879,NA,NA,NA,0.81,NA,NA,NA
"poison-statement","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"telegram-select","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"answer-reply","related",0.669421952866992,NA,NA,NA,0.8535,NA,NA,NA
"motive-alibi","related",0.244694645462458,NA,NA,NA,0.717,NA,NA,NA
"pump-hose","related",0.409024356389442,NA,NA,NA,0.7465,NA,NA,NA
"sensational-spectacular","related",0.656176760212122,NA,NA,NA,0.8,NA,NA,NA
"search-butter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"phenomenon-die","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"beast-animal","related",0.520935859298087,NA,NA,NA,0.9,NA,NA,NA
"chemistry-biology","related",0.548415742699234,NA,NA,NA,0.7695,NA,NA,NA
"drown-swim","related",0.5124212501794,NA,NA,NA,0.2,NA,NA,NA
"conspiracy-fraud","related",0.448610609724466,NA,NA,NA,0.75,NA,NA,NA
"typical-classic","related",0.448169625675627,NA,NA,NA,0.6635,NA,NA,NA
"frog-lizard","related",0.465873034980149,NA,NA,NA,0.817,NA,NA,NA
"road-act","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"conflict-dispute","related",0.629417186937289,NA,NA,NA,0.8685,NA,NA,NA
"useless-community","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"skirt-investigator","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"power-fever","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"enough-nation","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"god-divine","related",0.504400982208367,NA,NA,NA,0.7715,NA,NA,NA
"recognize-knew","related",0.423311521099493,NA,NA,NA,0.156,NA,NA,NA
"ninja-handkerchief","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"frog-bedroom","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"kidney-liver","related",0.605546528210051,NA,NA,NA,0.837,NA,NA,NA
"prevent-orange","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"revelation-crime","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"single-position","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"earthquake-explosion","related",0.462619838901449,NA,NA,NA,0.575,NA,NA,NA
"bomb-famous","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"green-dignity","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"company-interesting","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"risky-dangerous","related",0.641288620249284,NA,NA,NA,0.8375,NA,NA,NA
"bush-test","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"donkey-cigarette","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"fool-idiot","related",0.632159070099096,NA,NA,NA,0.855,NA,NA,NA
"mental-emotional","related",0.516541620810758,NA,NA,NA,0.7945,NA,NA,NA
"month-fighter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"curse-witch","related",0.368079001848715,NA,NA,NA,0.7195,NA,NA,NA
"saturday-sunday","related",0.651284674644103,NA,NA,NA,0.95,NA,NA,NA
"stand-invest","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tablet-pill","related",0.626036498915887,NA,NA,NA,0.778,NA,NA,NA
"run-walk","related",0.554065438884318,NA,NA,NA,0.825,NA,NA,NA
"corner-alley","related",0.549288784343941,NA,NA,NA,0.7365,NA,NA,NA
"realize-understand","related",0.600033595389853,NA,NA,NA,0.8,NA,NA,NA
"west-meal","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"humble-communication","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"collect-silence","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"incident-hug","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tool-drunk","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"compass-pregnancy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"zombie-recently","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pretty-beautiful","related",0.828722558679014,NA,NA,NA,0.9,NA,NA,NA
"exceptional-remarkable","related",0.760093089312373,NA,NA,NA,0.845,NA,NA,NA
"method-magazine","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"process-turtle","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"escort-landlord","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"fair-map","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"series-episode","related",0.553571685383155,NA,NA,NA,0.8835,NA,NA,NA
"fragment-angry","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sheriff-planning","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"anger-rage","related",0.55509702870841,NA,NA,NA,0.9,NA,NA,NA
"valve-organize","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"back-minister","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"nanny-maid","related",0.486510657667535,NA,NA,NA,0.746,NA,NA,NA
"bread-cheese","related",0.436378484097349,NA,NA,NA,0.837,NA,NA,NA
"kilometer-meter","related",0.431294918053631,NA,NA,NA,0.94,NA,NA,NA
"hormone-adrenaline","related",0.443314427563475,NA,NA,NA,0.878,NA,NA,NA
"skin-buyer","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"flu-disease","related",0.368424426375844,NA,NA,NA,0.85,NA,NA,NA
"bowl-effect","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"darkness-eat","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"trust-lover","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stadium-break","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"what-that","related",0.651608252697527,NA,NA,NA,0,NA,NA,NA
"tour-concert","related",0.491604439724951,NA,NA,NA,0.7375,NA,NA,NA
"terrible-leader","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tour-creature","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pension-confirm","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"insert-put","related",0.570721240429652,NA,NA,NA,0.375,NA,NA,NA
"error-mistake","related",0.545919759236362,NA,NA,NA,0.9,NA,NA,NA
"compassionate-draw","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"strength-force","related",0.53635611027232,NA,NA,NA,0.8115,NA,NA,NA
"profile-description","related",0.608015845383543,NA,NA,NA,0.7885,NA,NA,NA
"art-literature","related",0.378459391147352,NA,NA,NA,0.826,NA,NA,NA
"sum-highway","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"volunteer-sport","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"moon-system","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"help-assist","related",0.640803977314981,NA,NA,NA,0.9,NA,NA,NA
"sweet-income","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"grave-cemetery","related",0.495671053772044,NA,NA,NA,0.8605,NA,NA,NA
"rusty-dusty","related",0.575446966673822,NA,NA,NA,0.5835,NA,NA,NA
"round-around","related",0.730788067060042,NA,NA,NA,0.125,NA,NA,NA
"calendar-schedule","related",0.691967315460705,NA,NA,NA,0.875,NA,NA,NA
"hill-reactor","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dog-closure","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"silk-cotton","related",0.531965774751586,NA,NA,NA,0.775,NA,NA,NA
"shadow-study","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"operate-street","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"choice-option","related",0.788940841188714,NA,NA,NA,0.8885,NA,NA,NA
"freely-free","related",0.5798063402629,NA,NA,NA,0.625,NA,NA,NA
"jeep-knowledge","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"inspector-gun","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"food-meal","related",0.500233335402081,NA,NA,NA,0.875,NA,NA,NA
"resignation-dismissal","related",0.496326166707411,NA,NA,NA,0.835,NA,NA,NA
"killer-murderer","related",0.507438324112697,NA,NA,NA,1,NA,NA,NA
"practice-wish","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"society-community","related",0.43595656694214,NA,NA,NA,0.8425,NA,NA,NA
"search-find","related",0.730163472933582,NA,NA,NA,0.8,NA,NA,NA
"ping-ding","related",0.593061907132788,NA,NA,NA,0.1,NA,NA,NA
"focus-concentrate","related",0.505651946313511,NA,NA,NA,0.75,NA,NA,NA
"gambling-december","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"shield-unfair","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"occasionally-rarely","related",0.687166225226735,NA,NA,NA,0.782,NA,NA,NA
"today-practically","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"autopsy-analysis","related",0.422077316521534,NA,NA,NA,0.5385,NA,NA,NA
"code-shoot","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"platform-irresponsible","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"natural-artificial","related",0.482018225434855,NA,NA,NA,0.275,NA,NA,NA
"monster-creature","related",0.660440774137027,NA,NA,NA,0.825,NA,NA,NA
"attention-autumn","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"occur-happen","related",0.717213347013439,NA,NA,NA,0.85,NA,NA,NA
"invasion-frighten","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sexual-physical","related",0.431230479526324,NA,NA,NA,0.206,NA,NA,NA
"rusty-upper","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sin-crime","related",0.322007674431628,NA,NA,NA,0.8885,NA,NA,NA
"collect-gather","related",0.853197465617905,NA,NA,NA,0.856,NA,NA,NA
"youth-artery","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"terminal-give","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"evil-cruelty","related",0.405185736970615,NA,NA,NA,0.8375,NA,NA,NA
"body-corpse","related",0.506514652058734,NA,NA,NA,0.8,NA,NA,NA
"fresh-save","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"porn-friend","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"box-bag","related",0.510281967342546,NA,NA,NA,0.7895,NA,NA,NA
"south-north","related",0.711658558860175,NA,NA,NA,0.9,NA,NA,NA
"sky-heavenly","related",0.360347303862222,NA,NA,NA,0.4495,NA,NA,NA
"dvd-video","related",0.407786796926659,NA,NA,NA,0.8,NA,NA,NA
"dose-document","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ambulance-helicopter","related",0.463599417791407,NA,NA,NA,0.577,NA,NA,NA
"nude-defeat","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"instinct-intuition","related",0.665415498861949,NA,NA,NA,0.8,NA,NA,NA
"kidnapper-snow","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pound-idiot","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"alive-centimeter","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"factory-morning","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ass-butt","related",0.484060478323963,NA,NA,NA,0.825,NA,NA,NA
"portal-voluntarily","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"naïve-stupid","related",0.384046545590969,NA,NA,NA,0.689,NA,NA,NA
"charity-minute","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"crew-ship","related",0.462863137185155,NA,NA,NA,0.875,NA,NA,NA
"company-corporation","related",0.655425430010215,NA,NA,NA,0.9,NA,NA,NA
"baron-countess","related",0.470690520641468,NA,NA,NA,0.775,NA,NA,NA
"risky-urine","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"symptom-village","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"rodeo-improvement","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"policy-hamburger","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"curse-cargo","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"minimum-maximum","related",0.609964716968257,NA,NA,NA,0.775,NA,NA,NA
"support-assistance","related",0.555817363249317,NA,NA,NA,0.875,NA,NA,NA
"stamp-signature","related",0.615027719271348,NA,NA,NA,0.7495,NA,NA,NA
"liquid-fluid","related",0.765265568134758,NA,NA,NA,0.95,NA,NA,NA
"reception-cute","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"cow-literature","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"analyst-activate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"piano-guitar","related",0.595475359510139,NA,NA,NA,0.8375,NA,NA,NA
"tool-instrument","related",0.674292621191302,NA,NA,NA,0.8875,NA,NA,NA
"second-minute","related",0.623610226993919,NA,NA,NA,0.7985,NA,NA,NA
"word-vision","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"locked-artillery","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"already-tomato","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"lamp-vote","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"june-july","related",0.744476057652599,NA,NA,NA,0.85,NA,NA,NA
