"pair","type","cosine_similarity","API_similarity"
"answer-reply","related",0.669421952866992,"0.850"
"motive-alibi","related",0.244694645462458,"0.750"
"pump-hose","related",0.408993990325898,"0.743"
"sensational-spectacular","related",0.656176782647783,"0.800"
"search-butter","unrelated",0.276336171575202,"0.000"
"phenomenon-die","unrelated",0.270665650768752,"0.200"
"beast-animal","related",0.520907929834005,"0.900"
"chemistry-biology","related",0.548415742699234,"0.754"
"drown-swim","related",0.5124212501794,"0.200"
"conspiracy-fraud","related",0.448630317907269,"0.742"
"typical-classic","related",0.448169625675627,"0.675"
"frog-lizard","related",0.465846580140952,"0.800"
"road-act","unrelated",0.281501912287216,"0.150"
"conflict-dispute","related",0.629417186937289,"0.887"
"useless-community","unrelated",0.258882994123605,"0.049"
"skirt-investigator","unrelated",0.185008981330711,"0.000"
"power-fever","unrelated",0.254591352830013,"0.100"
"enough-nation","unrelated",0.280955226914597,"0.100"
"god-divine","related",0.504404958818723,"0.720"
"recognize-knew","related",0.423311521099493,"0.112"
"ninja-handkerchief","unrelated",0.256465676334802,"0.100"
"frog-bedroom","unrelated",0.142509403535185,"0.012"
"kidney-liver","related",0.605546528210051,"0.800"
"prevent-orange","unrelated",0.23863089911562,"0.000"
"revelation-crime","unrelated",0.301468508979471,"0.115"
"single-position","unrelated",0.289359720764749,"0.200"
"earthquake-explosion","related",0.462607002090812,"0.650"
"bomb-famous","unrelated",0.301852286822609,"0.100"
"green-dignity","unrelated",0.137916529195699,"0.073"
"company-interesting","unrelated",0.315777198290978,"0.000"
"risky-dangerous","related",0.64129070156391,"0.800"
"bush-test","unrelated",0.246852607490145,"0.100"
"donkey-cigarette","unrelated",0.234091188943128,"0.000"
"fool-idiot","related",0.632161417946213,"0.800"
"mental-emotional","related",0.516541620810758,"0.800"
"month-fighter","unrelated",0.19303063801729,"0.045"
"curse-witch","related",0.368087954017529,"0.756"
"saturday-sunday","related",0.651284674644103,"0.900"
"stand-invest","unrelated",0.384168345488419,"0.194"
"tablet-pill","related",0.626036498915887,"0.800"
"run-walk","related",0.554143263276046,"0.800"
"corner-alley","related",0.549381036553094,"0.723"
"realize-understand","related",0.600026539201728,"0.800"
"west-meal","unrelated",0.233073569299342,"0.020"
"humble-communication","unrelated",0.256855938408529,"0.112"
"collect-silence","unrelated",0.264388217292611,"0.100"
"incident-hug","unrelated",0.217768241552244,"0.135"
"tool-drunk","unrelated",0.251673349840171,"0.100"
"compass-pregnancy","unrelated",0.155365520032337,"0.000"
"zombie-recently","unrelated",0.215570164809762,"0.000"
"pretty-beautiful","related",0.828722558679014,"0.900"
"exceptional-remarkable","related",0.760108827085297,"0.890"
"method-magazine","unrelated",0.288457528471312,"0.112"
"process-turtle","unrelated",0.268326540422404,"0.100"
"escort-landlord","unrelated",0.406773203638895,"0.200"
"fair-map","unrelated",0.24210366836888,"0.200"
"series-episode","related",0.553543750257181,"0.867"
"fragment-angry","unrelated",0.229411889647537,"0.000"
"sheriff-planning","unrelated",0.169034644177975,"0.112"
"anger-rage","related",0.555087682074203,"0.900"
"valve-organize","unrelated",0.220010436147379,"0.000"
"back-minister","unrelated",0.233856385346029,"0.112"
"nanny-maid","related",0.486481121848022,"0.742"
"bread-cheese","related",0.436453545951591,"0.800"
"kilometer-meter","related",0.431294918053631,"0.980"
"hormone-adrenaline","related",0.443301287075062,"0.877"
"skin-buyer","unrelated",0.259559210748557,"0.050"
"flu-disease","related",0.368424426375844,"0.900"
"bowl-effect","unrelated",0.275691361548275,"0.100"
"darkness-eat","unrelated",0.220802050618082,"0.000"
"trust-lover","unrelated",0.466145384215802,"0.250"
"stadium-break","unrelated",0.225024487948735,"0.150"
"what-that","related",0.651601285302096,"0.000"
"tour-concert","related",0.491604439724951,"0.721"
"terrible-leader","unrelated",0.183032576869024,"0.175"
"tour-creature","unrelated",0.330983167404334,"0.050"
"pension-confirm","unrelated",0.272659695115188,"0.100"
"insert-put","related",0.570721240429652,"0.200"
"error-mistake","related",0.545919759236362,"0.900"
"compassionate-draw","unrelated",0.200006790640122,"0.000"
"strength-force","related",0.53635611027232,"0.750"
"profile-description","related",0.608015845383543,"0.754"
"art-literature","related",0.378459391147352,"0.817"
"sum-highway","unrelated",0.230867770972421,"0.000"
"volunteer-sport","unrelated",0.276392111064853,"0.215"
"moon-system","unrelated",0.257209758893153,"0.150"
"help-assist","related",0.64076822503972,"0.900"
"sweet-income","unrelated",0.324541055731309,"0.100"
"grave-cemetery","related",0.495671053772044,"0.846"
"rusty-dusty","related",0.575446966673822,"0.667"
"round-around","related",0.73080501134957,"0.100"
"calendar-schedule","related",0.691967315460705,"0.900"
"hill-reactor","unrelated",0.213433127812956,"0.045"
"dog-closure","unrelated",0.235223923792773,"0.000"
"silk-cotton","related",0.531991191460958,"0.750"
"shadow-study","unrelated",0.293161031768768,"0.112"
"operate-street","unrelated",0.267226044351138,"0.112"
"choice-option","related",0.78895461973992,"0.877"
"freely-free","related",0.579809358094896,"0.750"
"jeep-knowledge","unrelated",0.248074706474202,"0.112"
"inspector-gun","unrelated",0.266263602720487,"0.135"
"food-meal","related",0.500255472811491,"0.850"
"resignation-dismissal","related",0.496326166707411,"0.870"
"killer-murderer","related",0.507438324112697,"1.000"
"practice-wish","unrelated",0.315976908473849,"0.156"
"society-community","related",0.43595656694214,"0.835"
"search-find","related",0.730134044503761,"0.800"
"ping-ding","related",0.593087337116848,"0.100"
"focus-concentrate","related",0.50566250882367,"0.750"
"gambling-december","unrelated",0.243999186240501,"0.100"
"shield-unfair","unrelated",0.270137367886204,"0.000"
"occasionally-rarely","related",0.687166225226735,"0.750"
"today-practically","unrelated",0.348905091098383,"0.000"
"autopsy-analysis","related",0.422041673704516,"0.645"
"code-shoot","unrelated",0.319025599800339,"0.125"
"platform-irresponsible","unrelated",0.179400790654588,"0.000"
"natural-artificial","related",0.48196663086815,"0.350"
"monster-creature","related",0.660421960459674,"0.850"
"attention-autumn","unrelated",0.228775763201951,"0.112"
"occur-happen","related",0.717192849718053,"0.900"
"invasion-frighten","unrelated",0.245404166280983,"0.203"
"sexual-physical","related",0.431230479526324,"0.212"
"rusty-upper","unrelated",0.249885570898916,"0.000"
"sin-crime","related",0.321989740384111,"0.877"
"collect-gather","related",0.853197465617905,"0.837"
"youth-artery","unrelated",0.2369479071113,"0.100"
"terminal-give","unrelated",0.31040436865636,"0.000"
"evil-cruelty","related",0.405163524908749,"0.800"
"body-corpse","related",0.506539486110687,"0.800"
"fresh-save","unrelated",0.366108515753374,"0.213"
"porn-friend","unrelated",0.336405852601284,"0.150"
"box-bag","related",0.510281967342546,"0.756"
"south-north","related",0.711658558860175,"0.900"
"sky-heavenly","related",0.360358271599717,"0.654"
"dvd-video","related",0.407778783572173,"0.800"
"dose-document","unrelated",0.284200005862626,"0.102"
"ambulance-helicopter","related",0.463567574844408,"0.500"
"nude-defeat","unrelated",0.187994538684169,"0.000"
"instinct-intuition","related",0.66538984349025,"0.800"
"kidnapper-snow","unrelated",0.16405897688812,"0.000"
"pound-idiot","unrelated",0.256404676483951,"0.103"
"alive-centimeter","unrelated",0.134826908428976,"0.000"
"factory-morning","unrelated",0.267832035676168,"0.112"
"ass-butt","related",0.484015942187906,"0.850"
"portal-voluntarily","unrelated",0.303222821562449,"0.000"
"naïve-stupid","related",0.384056719554286,"0.578"
"charity-minute","unrelated",0.176255412922614,"0.112"
"crew-ship","related",0.462815549212077,"0.875"
"company-corporation","related",0.655356492595275,"0.900"
"baron-countess","related",0.470690520641468,"0.800"
"risky-urine","unrelated",0.249657411043307,"0.112"
"symptom-village","unrelated",0.229108159583659,"0.000"
"rodeo-improvement","unrelated",0.181225893638275,"0.050"
"policy-hamburger","unrelated",0.161588021480568,"0.050"
"curse-cargo","unrelated",0.29501963061095,"0.000"
"minimum-maximum","related",0.609964716968257,"0.850"
"support-assistance","related",0.555772413352447,"0.850"
"stamp-signature","related",0.615027719271348,"0.745"
"liquid-fluid","related",0.76525149837402,"1.000"
"reception-cute","unrelated",0.231765325935531,"0.000"
"cow-literature","unrelated",0.147933960144418,"0.000"
"analyst-activate","unrelated",0.29083797752917,"0.112"
"piano-guitar","related",0.595406139934536,"0.875"
"tool-instrument","related",0.674292621191302,"0.900"
"second-minute","related",0.62362719338573,"0.754"
"word-vision","unrelated",0.439241292797056,"0.117"
"locked-artillery","unrelated",0.209007914301171,"0.000"
"already-tomato","unrelated",0.218272548277193,"0.000"
"lamp-vote","unrelated",0.245674314477785,"0.050"
"june-july","related",0.744452716293968,"0.800"
"charm-beauty","related",0.502539220225149,"0.756"
"tough-nausea","unrelated",0.226967612242562,"0.112"
"trick-indicate","unrelated",0.313969689502089,"0.000"
"confirmation-confirm","related",0.864905462202718,"0.500"
"current-hallucination","unrelated",0.175422931698843,"0.050"
"stomach-poker","unrelated",0.270734364494275,"0.100"
"rain-snow","related",0.538067032120879,"0.867"
"fire-flame","related",0.595654709977013,"0.900"
"queen-king","related",0.590601528881116,"0.900"
"divorce-marriage","related",0.620363985175437,"0.900"
"diamond-strange","unrelated",0.225945453822211,"0.000"
"witness-disappointment","unrelated",0.209273866804107,"0.045"
"silent-silence","related",0.67005570173188,"0.900"
"management-administrative","related",0.504865537387955,"0.738"
"hand-joke","unrelated",0.304906061125299,"0.100"
"fire-understand","unrelated",0.15415807552951,"0.000"
"plan-friendly","unrelated",0.208967974768942,"0.000"
"conspiracy-bad","unrelated",0.234435759607368,"0.100"
"plan-strategy","related",0.697095780812326,"0.867"
"area-child","unrelated",0.278753340247988,"0.112"
"conference-attacker","unrelated",0.197696941943364,"0.050"
"drive-shoe","unrelated",0.315222209177889,"0.112"
"gossip-scandal","related",0.58912541869863,"0.758"
"injustice-smell","unrelated",0.18914525940971,"0.000"
"internet-web","related",0.721837976009116,"0.875"
"end-finish","related",0.750493180803796,"0.900"
"old-young","related",0.566605455532302,"0.200"
"theft-robbery","related",0.700055655009594,"0.900"
"dry-unable","unrelated",0.270389355320666,"0.000"
"cavalry-artillery","related",0.437937155067665,"0.754"
"pleasure-joy","related",0.560897631235805,"0.850"
"train-bus","related",0.45760943670792,"0.833"
"majesty-thumb","unrelated",0.254720131116489,"0.050"
"hire-finish","unrelated",0.295681782343225,"0.125"
"supernatural-paranormal","related",0.716133173207355,"0.850"
"boys-monitor","unrelated",0.231244272292269,"0.112"
"run-festival","unrelated",0.286509772010986,"0.234"
"empty-full","related",0.542904554538116,"0.000"
"radar-satellite","related",0.481682467892955,"0.800"
"bribe-blackmail","related",0.585451476521008,"0.812"
"route-path","related",0.635170254448701,"0.825"
"palace-video","unrelated",0.194084624586884,"0.112"
"caliber-motel","unrelated",0.153408438462962,"0.100"
"sergeant-obviously","unrelated",0.207575048552687,"0.000"
"general-maximum","unrelated",0.332159407108951,"0.223"
"gossip-prisoner","unrelated",0.277730902370067,"0.112"
"class-radiation","unrelated",0.232950626189607,"0.100"
"orphanage-convent","related",0.440770330634008,"0.233"
"bribe-girls","unrelated",0.173717489290394,"0.000"
"governor-senator","related",0.524370149845939,"0.750"
"modern-traditional","related",0.519065500948844,"0.234"
"similar-son","unrelated",0.406792966264964,"0.000"
"cloud-money","unrelated",0.280231449331492,"0.045"
"waiter-waitress","related",0.887357158714569,"1.000"
"night-evening","related",0.596155621999753,"0.850"
"choice-write","unrelated",0.395763740474817,"0.100"
"insult-inside","unrelated",0.284405562712011,"0.045"
"camera-build","unrelated",0.262466328426134,"0.112"
"voice-accent","related",0.459604040741823,"0.746"
"desire-holiday","unrelated",0.202973958764443,"0.345"
"stress-depression","related",0.441033528529205,"0.754"
"loyalty-newspaper","unrelated",0.182410503331702,"0.100"
"glorious-glory","related",0.729224441184231,"0.800"
"ninja-samurai","related",0.577529374380232,"0.800"
"career-reputation","related",0.358987456424843,"0.597"
"chip-device","related",0.421154011612079,"0.758"
"reason-cause","related",0.678879978357748,"0.900"
"warning-message","related",0.491840833025276,"0.645"
"crown-weekly","unrelated",0.186417383387694,"0.112"
"dog-cat","related",0.602590062721771,"0.887"
"maybe-powerless","unrelated",0.172545082377315,"0.000"
"worm-wedding","unrelated",0.272168360065809,"0.050"
"research-murderer","unrelated",0.164358316348232,"0.100"
"roman-greek","related",0.388953081488195,"0.800"
"here-ding","unrelated",0.331101286243395,"0.000"
"window-door","related",0.515123247003332,"0.800"
"valuable-important","related",0.482257848371573,"0.823"
"wound-tragic","unrelated",0.322697405138252,"0.150"
"load-solar","unrelated",0.236652810244141,"0.215"
"firm-hose","unrelated",0.28506104910866,"0.100"
"rocket-missile","related",0.463452463877518,"0.839"
"out-about","related",0.61437439295613,"0.000"
"nest-egg","related",0.487359956353115,"0.875"
"aspirin-morphine","related",0.378268667476092,"0.850"
"responsibility-syndrome","unrelated",0.19757962217687,"0.200"
"majority-camping","unrelated",0.118309131031651,"0.100"
"construction-build","related",0.721873514995822,"0.750"
"opinion-attitude","related",0.487103396475201,"0.751"
"rain-federation","unrelated",0.201882302695671,"0.010"
"stick-meet","unrelated",0.297106803207753,"0.125"
"golf-tennis","related",0.567951529987146,"0.800"
"virus-client","unrelated",0.265075777563037,"0.100"
"industry-business","related",0.54009213761847,"0.843"
"sometimes-injection","unrelated",0.239299401518534,"0.000"
"expensive-journalist","unrelated",0.170628794999442,"0.100"
"husband-wife","related",0.653213291676875,"1.000"
"protein-bury","unrelated",0.236922615499932,"0.000"
"ideal-perfect","related",0.659377296847523,"0.875"
"trailer-attempt","unrelated",0.387479030853524,"0.112"
"health-force","unrelated",0.29675592599383,"0.200"
"parliament-senate","related",0.596105625810143,"0.875"
"boot-shoe","related",0.380081631713182,"0.875"
"near-champagne","unrelated",0.177297683495708,"0.025"
"exceptional-explode","unrelated",0.315332064110765,"0.100"
"landing-garbage","unrelated",0.224149699526935,"0.100"
"illegal-young","unrelated",0.267326897061763,"0.000"
"okay-often","unrelated",0.325051313008329,"0.000"
"chip-ride","unrelated",0.259081287026175,"0.156"
"place-morphine","unrelated",0.22401747028027,"0.045"
"birth-pregnancy","related",0.488074025666757,"0.907"
"jungle-forest","related",0.484659062350012,"0.877"
"banana-strawberry","related",0.400730056857412,"0.850"
"private-privacy","related",0.635357400470251,"0.875"
"model-prototype","related",0.595200787551053,"0.750"
"west-east","related",0.577601531423364,"0.712"
"burst-mystery","unrelated",0.27010684941634,"0.125"
"floor-carpet","related",0.54227162589334,"0.789"
"necessary-bag","unrelated",0.25342223459545,"0.112"
"view-perspective","related",0.504416460138208,"0.800"
"mile-ransom","unrelated",0.238508464377434,"0.000"
"banking-financial","related",0.545607945292257,"0.850"
"explanation-plausible","related",0.331815624129916,"0.175"
"shot-shoot","related",0.720187277113114,"0.800"
"try-castle","unrelated",0.28102634718387,"0.000"
"total-waitress","unrelated",0.187233203962236,"0.112"
"forbidden-prohibit","related",0.596014228620407,"0.800"
"suck-lick","related",0.508028061441368,"0.756"
"point-indicate","related",0.410064405860891,"0.250"
"admit-mission","unrelated",0.248612351604791,"0.100"
"quiet-flour","unrelated",0.13115307129951,"0.000"
"top-woman","unrelated",0.289350299029423,"0.029"
"risk-wet","unrelated",0.260082596887241,"0.112"
"rifle-gun","related",0.540124578879616,"0.900"
"always-constantly","related",0.61644359715854,"0.900"
"leave-abandon","related",0.506162631442671,"0.800"
"radius-expect","unrelated",0.224852317976058,"0.000"
"male-female","related",0.800457922927788,"0.800"
"album-meter","unrelated",0.358354971114675,"0.112"
"caesar-pilot","unrelated",0.241110111359687,"0.100"
"whiskey-vodka","related",0.597658322349002,"0.850"
"beach-mechanical","unrelated",0.231122941575858,"0.112"
"century-contrary","unrelated",0.17886071664384,"0.100"
"flee-long","unrelated",0.216872767594926,"0.000"
"shadow-dark","related",0.570511161594962,"0.762"
"envelope-package","related",0.408463790654761,"0.750"
"helmet-fruit","unrelated",0.229621323696686,"0.000"
"purpose-intention","related",0.495683183300175,"0.854"
"hospitality-need","unrelated",0.280263565421917,"0.254"
"protein-vitamin","related",0.424130804026539,"0.750"
"privilege-storm","unrelated",0.229166429223244,"0.000"
"soldier-warrior","related",0.576451623625227,"0.850"
"coach-sufficient","unrelated",0.213248773224109,"0.000"
"count-calculate","related",0.543628719090476,"0.727"
"check-bottom","unrelated",0.381435412293061,"0.112"
"basketball-football","related",0.524150028600028,"0.845"
"pocket-wallet","related",0.408017119335288,"0.800"
"shop-mathematics","unrelated",0.158399834425067,"0.112"
"air-family","unrelated",0.253459544537941,"0.000"
"candidate-pleasant","unrelated",0.292885662210613,"0.000"
"myth-exhibition","unrelated",0.276991358021362,"0.133"
"firm-agency","related",0.464195015664096,"0.678"
"horn-flame","unrelated",0.300160360328549,"0.114"
"angel-devil","related",0.602933318067105,"0.800"
"experience-knowledge","related",0.544413682692976,"0.800"
"journalism-bed","unrelated",0.106430514007005,"0.050"
"noble-left","unrelated",0.215237296343917,"0.100"
"senior-junior","related",0.637104172276633,"0.750"
"base-headquarters","related",0.382373863955968,"0.215"
"irony-ironic","related",0.900426134075498,"0.800"
"supernatural-lecture","unrelated",0.220960056311284,"0.100"
"september-october","related",0.643777873640735,"0.900"
"champion-fighter","related",0.385116950275298,"0.812"
"terrible-horrible","related",0.849541039529439,"0.900"
"admit-confess","related",0.671377334833535,"0.829"
"skin-tissue","related",0.404326417017752,"0.754"
"swallow-chew","related",0.627242306013897,"0.225"
"file-document","related",0.616312142246031,"0.850"
"comment-brother","unrelated",0.230989619753626,"0.123"
"man-primary","unrelated",0.258202830274502,"0.100"
"porn-movie","related",0.45211387318136,"0.742"
"pleasure-local","unrelated",0.188416968314712,"0.213"
"penalty-imprisonment","related",0.484303319235788,"0.742"
"washington-biological","unrelated",0.10954406776562,"0.000"
"pub-strategy","unrelated",0.221979031766798,"0.054"
"balance-merchant","unrelated",0.29928141972791,"0.215"
"desire-wish","related",0.458715803398365,"0.867"
"youth-childhood","related",0.491576446258601,"0.850"
"obstacle-challenge","related",0.502971505748991,"0.750"
"cement-plastic","related",0.338944821948357,"0.300"
"basketball-ceremony","unrelated",0.211898829073547,"0.112"
"imperial-emperor","related",0.597215174365677,"0.800"
"glasses-cap","related",0.321097654111953,"0.154"
"uncomfortable-boy","unrelated",0.247501313444217,"0.000"
"relative-pain","unrelated",0.283802305750244,"0.100"
"club-bar","related",0.464852272177747,"0.756"
"carnival-festival","related",0.585374298090206,"0.865"
"golden-silver","related",0.553645340454721,"0.850"
"orgasm-cold","unrelated",0.178728999504123,"0.000"
"cabinet-continue","unrelated",0.173271252429299,"0.000"
"soldier-activity","unrelated",0.180115583500257,"0.200"
"gambling-poker","related",0.636555743504481,"0.850"
"mouth-dismissal","unrelated",0.15035470238853,"0.000"
"stomach-chest","related",0.474879688715261,"0.148"
"big-savior","unrelated",0.223681220492521,"0.100"
"engagement-wedding","related",0.486543229681728,"0.800"
"arsenal-graduate","unrelated",0.125677858237843,"0.112"
"law-childhood","unrelated",0.193379605331684,"0.235"
"piano-cartel","unrelated",0.217221262549213,"0.050"
"bravo-safety","unrelated",0.203248227327764,"0.112"
"camera-microphone","related",0.46973067522963,"0.785"
"useful-lady","unrelated",0.250640418015295,"0.112"
"dinner-misery","unrelated",0.203767589257814,"0.100"
"policy-politician","related",0.374419122811081,"0.757"
"hill-mountain","related",0.434409167352622,"0.844"
"management-probably","unrelated",0.266374693223472,"0.000"
"concern-worry","related",0.682757507364281,"0.900"
"one-torture","unrelated",0.180586932350273,"0.112"
"toast-bacon","related",0.377854899650501,"0.850"
"valve-ventilation","related",0.447501492256857,"0.457"
"colony-gay","unrelated",0.155829562025366,"0.100"
"baron-agency","unrelated",0.261697989392007,"0.134"
"culture-civilization","related",0.510949950485374,"0.857"
"flag-assassin","unrelated",0.217268929702471,"0.045"
"swear-sauce","unrelated",0.339220433809215,"0.000"
"outside-equip","unrelated",0.383953074994512,"0.100"
"bring-send","related",0.528882885382707,"0.800"
"experiment-test","related",0.655768604917038,"0.800"
"instinct-school","unrelated",0.225337746973575,"0.125"
"security-safety","related",0.595882463574312,"0.856"
"enemy-liver","unrelated",0.224435232178754,"0.000"
"choose-select","related",0.649926005416661,"0.900"
"resistance-amazing","unrelated",0.213361701915556,"0.000"
"innocent-guilty","related",0.546354436159152,"0.876"
"yoga-massage","related",0.385352488655248,"0.742"
"evolution-mutation","related",0.474149727187886,"0.875"
"plant-agreement","unrelated",0.187518834948301,"0.000"
"mail-music","unrelated",0.351930216242352,"0.112"
"majesty-highness","related",0.560847580881642,"0.800"
"thief-devotion","unrelated",0.178892686016887,"0.102"
"mafia-cartel","related",0.349609572281452,"0.812"
"pyramid-structure","related",0.351335276011145,"0.754"
"detonator-creepy","unrelated",0.149836240980518,"0.000"
"scratch-opponent","unrelated",0.282401376359872,"0.112"
"recover-legend","unrelated",0.262595354681565,"0.112"
"describe-express","related",0.467515642318628,"0.600"
"hospital-development","unrelated",0.24244429647292,"0.212"
"plague-epidemic","related",0.612213126327736,"0.901"
"aids-restaurant","unrelated",0.18100522370003,"0.050"
"minimum-politician","unrelated",0.134705736456456,"0.062"
"value-price","related",0.570267859087898,"0.800"
"midnight-noon","related",0.495739054794695,"0.657"
"choose-evaluation","unrelated",0.401334125746855,"0.223"
"telegram-letter","related",0.472596483806292,"0.750"
"stay-photo","unrelated",0.242476939280333,"0.112"
"key-lock","related",0.508705991012833,"1.000"
"empty-tennis","unrelated",0.178423486560848,"0.000"
"tired-effective","unrelated",0.318705184614753,"0.100"
"law-constitution","related",0.486475968450811,"0.850"
"chaos-confusion","related",0.554782915057749,"0.825"
"rock-poem","unrelated",0.238570944620293,"0.112"
"student-teacher","related",0.561453237227571,"0.800"
"ring-arrogance","unrelated",0.241841312935258,"0.000"
"pirate-protocol","unrelated",0.265230286150089,"0.100"
"trick-joke","related",0.499087384061737,"0.754"
"resistance-resist","related",0.664721106754195,"0.500"
"genius-scientist","related",0.403548733727292,"0.786"
"helmet-hat","related",0.389934252644559,"0.712"
"opposite-delicious","unrelated",0.217106052657716,"0.000"
"unreasonable-alibi","unrelated",0.241533688084441,"0.137"
"say-tell","related",0.679224971392412,"0.800"
"girl-boy","related",0.694714830299782,"0.900"
"hand-arm","related",0.510573697874854,"0.900"
"playboy-zone","unrelated",0.276481889437844,"0.102"
"capital-romantic","unrelated",0.255951710467448,"0.112"
"process-procedure","related",0.681186491435376,"0.821"
"move-transfer","related",0.549006081659579,"0.643"
"special-confidence","unrelated",0.260589305870557,"0.245"
"gain-flight","unrelated",0.35072942744555,"0.112"
"short-long","related",0.540050160920467,"0.300"
"banana-rage","unrelated",0.194994507834671,"0.000"
"dose-injection","related",0.503871751381392,"0.738"
"general-colonel","related",0.407939304574575,"0.563"
"load-cargo","related",0.551325247473121,"0.800"
"analyst-investigator","related",0.535618365527053,"0.732"
"contact-marketing","unrelated",0.417083901811297,"0.612"
"snack-prototype","unrelated",0.26056812661879,"0.100"
"replace-penis","unrelated",0.160426788941972,"0.000"
"lie-convent","unrelated",0.276798427933627,"0.000"
"soft-winner","unrelated",0.188730759706511,"0.058"
"antidote-vaccine","related",0.432116292281502,"0.750"
"darkness-light","related",0.373929180113188,"0.112"
"mars-great","unrelated",0.312988852307928,"0.000"
"point-mercy","unrelated",0.244299498770184,"0.100"
"compliment-gate","unrelated",0.23215223444403,"0.050"
"moon-sun","related",0.56379815116725,"0.875"
"grain-flour","related",0.549279624395575,"0.900"
"diarrhea-nausea","related",0.410704862522938,"0.850"
"gang-group","related",0.584729242566325,"0.732"
"service-maintenance","related",0.4651773085968,"0.675"
"summer-divine","unrelated",0.203123084180347,"0.112"
"rocket-wife","unrelated",0.227792630220394,"0.050"
"privilege-honor","related",0.579399885857664,"0.758"
"smile-treatment","unrelated",0.292831020403879,"0.200"
"route-medal","unrelated",0.25522833004745,"0.050"
"hero-close","unrelated",0.170555404250763,"0.000"
"romeo-juliet","related",0.66593217767624,"0.900"
"budget-phrase","unrelated",0.301721298532967,"0.112"
"nude-naked","related",0.805979013746751,"0.950"
"national-copy","unrelated",0.232139491314436,"0.100"
"nickname-sell","unrelated",0.273906050915345,"0.000"
"tumor-cancer","related",0.659456976010477,"0.900"
"alone-lonely","related",0.624159849826848,"0.800"
"data-absurd","unrelated",0.216377566127609,"0.000"
"author-dollar","unrelated",0.204361039808709,"0.112"
"mud-vitamin","unrelated",0.228494644704119,"0.000"
"form-brave","unrelated",0.234410567807897,"0.100"
"ticket-hide","unrelated",0.348346829867351,"0.112"
"secretary-assistant","related",0.446731289409104,"0.826"
"jealous-sermon","unrelated",0.182576487350581,"0.000"
"hello-bye","related",0.540164665114439,"0.877"
"final-ultimate","related",0.637392260669858,"0.834"
"ridiculous-absurd","related",0.610367985020035,"0.875"
"reporter-journalist","related",0.743404695230695,"0.900"
"tenant-landlord","related",0.493318715708872,"0.800"
"rock-stone","related",0.453393878775088,"0.900"
"room-bedroom","related",0.55156505753371,"0.867"
"bee-ant","related",0.295380380594955,"0.845"
"daughter-son","related",0.506774631636849,"1.000"
"person-individual","related",0.729761898324173,"0.900"
"brand-generous","unrelated",0.22046979328126,"0.000"
"volunteer-voluntarily","related",0.63783757658764,"0.300"
"astronaut-come","unrelated",0.22671236546139,"0.000"
"bible-book","related",0.489740082491397,"0.875"
"miserable-pathetic","related",0.391201299535381,"0.754"
"monster-chapel","unrelated",0.14213605250522,"0.050"
"africa-oxygen","unrelated",0.270198228049927,"0.045"
"tobacco-king","unrelated",0.191292331960207,"0.050"
"internal-juice","unrelated",0.25350570590778,"0.112"
"seller-buyer","related",0.750524517085748,"0.900"
"safe-accusation","unrelated",0.205318936060151,"0.112"
"witty-military","unrelated",0.222378525354534,"0.105"
"hospitality-gratitude","related",0.397922243018337,"0.300"
"rule-countess","unrelated",0.279713336487767,"0.112"
"pub-restaurant","related",0.501672689735281,"0.786"
"layer-surface","related",0.339251363956294,"0.678"
"cabinet-closet","related",0.517007038716403,"0.800"
"tank-imprisonment","unrelated",0.178192234274375,"0.050"
"useless-worthless","related",0.820749184739191,"0.800"
"county-district","related",0.690451375249715,"0.800"
"useful-effective","related",0.574949927682972,"0.523"
"banker-honesty","unrelated",0.249988481349917,"0.200"
"gesture-around","unrelated",0.44077205230719,"0.112"
"doubt-suspect","related",0.554279336028658,"0.667"
"regiment-sit","unrelated",0.245250198227482,"0.052"
"warm-building","unrelated",0.354192880955519,"0.115"
"marine-pen","unrelated",0.272538586150479,"0.000"
"victory-defeat","related",0.596381241425772,"0.900"
"second-traditional","unrelated",0.415059989323892,"0.150"
"conflict-colonel","unrelated",0.254107230723283,"0.112"
"wrong-correct","related",0.591200031323646,"0.000"
"literally-practically","related",0.594645164780364,"0.240"
"impression-feeling","related",0.45984298014233,"0.743"
"doll-intelligent","unrelated",0.248624443384323,"0.000"
"international-lonely","unrelated",0.256163171207902,"0.150"
"gallery-exhibition","related",0.489311871802633,"0.875"
"guard-patrol","related",0.571217128274682,"0.765"
"dean-professor","related",0.492985715098577,"0.834"
"dirty-abandon","unrelated",0.301652325592112,"0.112"
"sandwich-use","unrelated",0.262571709521606,"0.100"
"ping-bottle","unrelated",0.330571907282739,"0.100"
"concept-passport","unrelated",0.261474516497968,"0.200"
"object-subject","related",0.635879138347741,"0.700"
"section-warrior","unrelated",0.235588942379501,"0.100"
"industry-alpha","unrelated",0.249069637826888,"0.125"
"flag-symbol","related",0.499389988345002,"0.825"
"tomorrow-parent","unrelated",0.222810786162302,"0.100"
"half-quarter","related",0.69408397546624,"0.800"
"finally-boat","unrelated",0.259156586107659,"0.000"
"loser-senate","unrelated",0.209809015583239,"0.075"
"brain-sign","unrelated",0.270389244885703,"0.100"
"cable-wire","related",0.574100896614673,"0.800"
"conservative-liberal","related",0.621176009118478,"0.234"
"creation-destruction","related",0.412200275071549,"0.254"
"ufo-sink","unrelated",0.251529917387262,"0.050"
"profit-writing","unrelated",0.245510472056076,"0.200"
